Id,SalePrice
1461,136932.5
1462,161040.37
1463,185539.0
1464,185815.64
1465,196722.98
1466,178298.85
1467,171477.12
1468,176455.03
1469,188205.15
1470,118048.5
1471,192739.79
1472,94515.0
1473,107188.12
1474,154638.0
1475,119901.06
1476,372962.39
1477,260196.74
1478,296229.16
1479,299355.53
1480,454794.19
1481,332408.01
1482,208589.97
1483,208275.16
1484,168676.79
1485,160122.84666666665
1486,199165.82
1487,383835.13
1488,256259.47
1489,208268.88
1490,205757.34
1491,184014.37
1492,99767.0
1493,176061.82
1494,293979.28
1495,288890.74
1496,205229.38
1497,192038.98
1498,155614.97
1499,152531.97
1500,159882.57
1501,172555.65
1502,138605.55
1503,307324.96
1504,242299.35
1505,205848.05
1506,198152.54
1507,250982.1
1508,182459.25
1509,153369.03
1510,143779.31
1511,143690.37
1512,180520.0
1513,159100.87
1514,178268.85
1515,193024.4
1516,147981.5
1517,155635.3
1518,130373.1
1519,212411.96
1520,136576.21
1521,140032.56
1522,152047.2
1523,124451.5
1524,114774.0
1525,121525.5
1526,126640.0
1527,118384.04
1528,132893.29
1529,141324.34
1530,170689.0
1531,128671.11
1532,95019.5
1533,156146.2
1534,126416.91
1535,151517.76
1536,131767.5
1537,103048.08
1538,159129.33
1539,170016.81
1540,118244.24
1541,154494.5
1542,144991.73
1543,209636.32
1544,79041.0
1545,111276.66
1546,123929.5
1547,129982.72
1548,130391.5
1549,119957.87
1550,131951.71
1551,114727.5
1552,140096.0
1553,143342.62
1554,122051.38
1555,162467.1
1556,103963.25
1557,123369.7
1558,87378.0
1559,124562.2
1560,138478.08
1561,152405.1
1562,132216.0
1563,119051.14
1564,155869.61
1565,153653.34
1566,223565.19
1567,84797.0
1568,219839.57
1569,144813.34
1570,133633.54
1571,123613.42
1572,149802.87
1573,231539.7
1574,144365.0
1575,206864.8
1576,230477.06
1577,196013.69
1578,143838.0
1579,143504.9
1580,187738.38
1581,144663.25
1582,120183.0
1583,309465.34
1584,232112.92
1585,137975.84
1586,79329.5
1587,104798.0
1588,151811.75
1589,108685.0
1590,137942.6
1591,105641.28
1592,136818.86
1593,117474.5
1594,138669.67
1595,122461.24
1596,236470.63
1597,170600.45
1598,169350.59
1599,164745.55
1600,175891.31
1601,83993.0
1602,125734.79
1603,111529.29
1604,264481.23
1605,247541.23
1606,164348.5
1607,187918.91
1608,216965.82
1609,173977.26
1610,153568.4
1611,148895.9
1612,201643.05
1613,188852.77
1614,124821.0
1615,94996.0
1616,90319.64
1617,92009.0
1618,128401.5
1619,131993.1666666667
1620,180526.3
1621,149606.52
1622,157553.87
1623,285498.26
1624,220540.74
1625,127226.5
1626,160310.05
1627,188514.27
1628,262931.97
1629,167817.85
1630,369097.66
1631,217151.1
1632,251692.52
1633,158178.38
1634,184212.66
1635,174432.44
1636,166425.52
1637,180154.55
1638,210053.9
1639,187351.87
1640,251563.89
1641,180367.0
1642,225832.35
1643,239650.79
1644,237778.8
1645,175123.4
1646,156223.6
1647,165178.26
1648,141427.06
1649,135910.1
1650,116688.0
1651,125892.0
1652,97090.0
1653,99553.64
1654,150852.03
1655,149680.1
1656,150171.53
1657,155598.56
1658,154749.46
1659,122987.56
1660,153289.23
1661,424998.94
1662,397470.13
1663,394549.81
1664,457400.6
1665,344156.89
1666,297890.92
1667,352943.95
1668,338078.92
1669,279050.99
1670,349348.05
1671,243205.33
1672,437696.41
1673,286928.95
1674,255638.51
1675,193965.7
1676,192115.81
1677,207886.31
1678,430748.74
1679,388682.13
1680,358630.68
1681,268879.96
1682,274497.49
1683,187823.39
1684,176434.76
1685,174867.77
1686,165826.25
1687,157767.56
1688,186077.5
1689,182494.0
1690,178914.2
1691,173345.24
1692,250100.18
1693,158298.77999999997
1694,176701.8
1695,155272.43
1696,259871.39
1697,154682.82
1698,360990.1
1699,327891.05
1700,232738.55
1701,277561.79
1702,285942.92
1703,275502.48
1704,285465.99
1705,255433.0
1706,414804.38
1707,219569.18
1708,230624.74
1709,285817.58
1710,244055.07
1711,241489.85
1712,296604.68
1713,239108.22
1714,212806.65
1715,202884.34
1716,192816.52
1717,166258.85
1718,138639.9
1719,205647.9
1720,242227.77
1721,165262.9
1722,137278.39
1723,154475.01
1724,226316.07
1725,231898.8
1726,199547.15
1727,190182.62
1728,176940.55
1729,160326.41
1730,156600.42
1731,129182.5
1732,136779.0
1733,121799.5
1734,124413.25
1735,130413.0
1736,120570.0
1737,304320.62
1738,219342.23
1739,303340.53
1740,212137.1
1741,190636.14
1742,170899.58
1743,170210.2
1744,301777.09
1745,236785.84
1746,215899.02
1747,212100.01
1748,234606.63
1749,157663.5
1750,150386.5
1751,240528.56
1752,120682.0
1753,167401.77
1754,201969.64
1755,168612.0
1756,119455.0
1757,125127.0
1758,153560.0
1759,162164.5
1760,176199.82
1761,161282.5
1762,170799.0
1763,167628.9
1764,119242.0
1765,181294.38
1766,161802.0
1767,223847.5
1768,138322.37
1769,162395.0
1770,136621.35
1771,141722.03
1772,155753.37
1773,143854.0
1774,152175.55
1775,129947.5
1776,117532.5
1777,102981.0
1778,126715.75
1779,109766.0
1780,168018.45
1781,136145.53
1782,104187.14
1783,156812.72
1784,99820.5
1785,120626.0
1786,141001.57
1787,164579.55
1788,63140.0
1789,108719.0
1790,92231.0
1791,173948.78
1792,155092.55
1793,143992.1
1794,140269.15
1795,139530.1
1796,101888.0
1797,143074.5
1798,125641.34
1799,99323.0
1800,121809.06
1801,137394.05
1802,141596.34
1803,151868.0
1804,142851.3
1805,128643.5
1806,125140.65
1807,130847.37
1808,122018.82
1809,122899.37333333334
1810,136323.84
1811,111496.08
1812,105267.0
1813,123143.5
1814,107725.28
1815,62773.0
1816,99051.0
1817,120869.74
1818,151413.02
1819,129153.78
1820,79936.0
1821,115288.62
1822,151571.67
1823,65991.5
1824,132749.37
1825,134528.08
1826,97552.2
1827,121642.79
1828,138200.24
1829,139477.0
1830,142689.5
1831,159792.5
1832,131354.21
1833,137335.5
1834,132519.54
1835,153729.6
1836,145520.0
1837,92839.0
1838,137666.44
1839,93509.0
1840,157198.15
1841,144250.44
1842,93629.0
1843,145195.5
1844,126901.03
1845,147729.35
1846,155973.87
1847,151594.74
1848,69362.0
1849,105133.0
1850,133907.1
1851,143783.37
1852,129518.5
1853,136964.13
1854,166341.61666666667
1855,155031.06
1856,219882.52
1857,145600.09
1858,159571.11
1859,120545.6
1860,161943.78
1861,108214.16
1862,256233.16
1863,244972.71
1864,263909.04
1865,328240.83
1866,337984.28
1867,261112.55
1868,292722.64
1869,197876.65
1870,255834.4
1871,240170.87
1872,167520.49
1873,251672.6
1874,141125.01666666666
1875,200428.74
1876,194405.3
1877,202517.6
1878,216532.85
1879,126398.14
1880,129093.6
1881,253597.74
1882,258537.46
1883,197213.14
1884,228823.31
1885,233989.65
1886,263881.47
1887,197565.6
1888,255176.92
1889,169433.03
1890,142256.97
1891,141469.90666666665
1892,114468.5
1893,133277.24
1894,144497.4
1895,141061.5
1896,117932.5
1897,107061.0
1898,115570.0
1899,149062.82
1900,137473.12
1901,159909.09
1902,141026.98
1903,202445.37
1904,148481.34
1905,182387.05
1906,165097.18
1907,198745.5
1908,121704.38
1909,138440.07
1910,131995.38
1911,190468.4
1912,289037.87
1913,167031.72
1914,74932.5
1915,336563.01
1916,71340.0
1917,252062.24
1918,141547.66666666666
1919,159345.72
1920,179885.4
1921,400207.92
1922,313740.57
1923,219991.29
1924,215790.05
1925,220522.67
1926,384410.35
1927,135320.55
1928,166673.19
1929,113914.92
1930,116089.42
1931,142314.83333333334
1932,144144.14
1933,171661.9
1934,181245.76
1935,175698.95
1936,181397.39
1937,183242.37
1938,197144.55
1939,255636.02
1940,196095.42
1941,180359.05
1942,184964.44
1943,198148.51
1944,309717.43
1945,340138.57
1946,168787.5
1947,317302.24
1948,185927.0
1949,227056.47
1950,180872.25
1951,252544.36
1952,235932.42
1953,158203.03
1954,194522.55
1955,139044.5
1956,296621.73
1957,169398.0
1958,294219.01
1959,147504.16
1960,117267.0
1961,118240.0
1962,96701.64
1963,99625.0
1964,117209.46
1965,150717.68
1966,154009.1
1967,264776.37
1968,405172.33
1969,364224.14
1970,402088.47
1971,438101.56
1972,346307.26
1973,274083.15
1974,292061.87
1975,432631.86
1976,251888.23
1977,364274.6
1978,394926.24
1979,361467.83
1980,199111.44
1981,343529.29
1982,215671.96
1983,214337.11
1984,166549.65
1985,196671.32
1986,194742.68
